safetyreportid,field_count_raw,field_count_converted
23580253,71,71
23447023,84,84
23566068,81,81
23476478,69,69
23569847,67,67
23552401,68,68
23581630,67,67
23553817,76,76
23535068,76,76
23554155,72,72
23535864,65,65
23630116,72,72
23536230,83,83
23501123,67,67
23585818,63,63
23502997,66,66
23588653,77,77
23568721,65,65
23538294,78,78
23637526,77,77
23538861,70,70
23637540,81,81
23540132,76,76
23640012,81,81
23541009,66,66
23640322,76,76
23589720,78,78
23515647,60,60
23590153,69,69
23519926,72,72
23590234,72,72
23520306,70,70
23592016,61,61
23521574,70,70
23542048,70,70
23651997,49,49
23542224,71,71
23652187,74,74
23593150,75,75
23601990,81,81
23593608,67,67
23602719,71,71
23593851,70,70
23604272,75,75
23594027,71,71
23604649,76,76
23594203,68,68
23522951,66,66
23594971,58,58
23524085,67,67
23595228,64,64
23524733,69,69
23596429,77,77
23525057,69,69
23546947,77,77
23525705,67,67
23599965,62,62
23587175,80,80
23600049,65,65
23587418,85,85
23600197,66,66
23587566,77,77
23600630,72,72
23588161,64,64
23550500,84,84
23588996,74,74
23585395,73,73
23589739,72,72
23587434,83,83
23608065,64,64
23587973,68,68
23608294,67,67
23601088,76,76
23652754,65,65
23602074,79,79
23655036,71,71
23603222,69,69
23526177,77,77
23604113,76,76
23526272,79,79
23591660,69,69
23527149,67,67
23553994,51,51
23527297,86,86
23554346,78,78
23528283,68,68
23556924,55,55
23529822,68,68
23605596,78,78
23610707,77,77
23608001,79,79
23545941,64,64
23593132,76,76
23547547,67,67
23593509,70,70
23612785,70,70
23594386,70,70
23614095,71,71
23594791,67,67
23644434,77,77
23595897,66,66
23645730,69,69
23559178,69,69
23646054,82,82
23559745,59,59
23646230,83,83
23560178,73,73
23647079,66,66
23560974,56,56
23573252,80,80
23510023,59,59
23574439,77,77
23511844,78,78
23574992,76,76
23512397,69,69
23651805,77,77
23513330,54,54
23643040,70,70
23513598,67,67
23646252,57,57
23597059,71,71
13118126,70,70
23597383,66,66
14235655,79,79
23598908,65,65
14379698,58,58
23613386,61,61
15269888,69,69
23614196,71,71
